industry_code_x,industry_code_y,dem_corr,edge_tuple,edge_tuple_rev
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder'",0.421143283458,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder'"")","(""Exports of '12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Wages of ''Agricultura, pecuaria e servicos relacionados' in 'All occupations''",0.398401917039,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Wages of ''Agricultura, pecuaria e servicos relacionados' in 'All occupations''"")","(""Wages of ''Agricultura, pecuaria e servicos relacionados' in 'All occupations''"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '89 - Ships, boats and floating structures'",0.395583831449,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '89 - Ships, boats and floating structures'"")","(""Exports of '89 - Ships, boats and floating structures'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Exports of '10 - Cereals',0.390291854351,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '10 - Cereals'"")","(""Exports of '10 - Cereals'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Wages of ''Producao florestal' in 'All occupations'',0.390197722438,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Wages of ''Producao florestal' in 'All occupations''"")","(""Wages of ''Producao florestal' in 'All occupations''"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof'",0.373442500733,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof'"")","(""Exports of '16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Exports of '24 - Tobacco and manufactured tobacco substitutes',0.373442500733,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '24 - Tobacco and manufactured tobacco substitutes'"")","(""Exports of '24 - Tobacco and manufactured tobacco substitutes'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '26 - Ores, slag and ash'",0.373442500733,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '26 - Ores, slag and ash'"")","(""Exports of '26 - Ores, slag and ash'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Exports of '47 - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard',0.373442500733,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '47 - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard'"")","(""Exports of '47 - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Imports of '03 - Fish and crustaceans, molluscs and other aquatic invertebrates'",0.373442500733,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Imports of '03 - Fish and crustaceans, molluscs and other aquatic invertebrates'"")","(""Imports of '03 - Fish and crustaceans, molluscs and other aquatic invertebrates'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Exports of '41 - Raw hides and skins (other than furskins) and leather',0.372160949628,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '41 - Raw hides and skins (other than furskins) and leather'"")","(""Exports of '41 - Raw hides and skins (other than furskins) and leather'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Exports of '52 - Cotton',0.322366511708,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '52 - Cotton'"")","(""Exports of '52 - Cotton'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '20 - Preparations of vegetables, fruit, nuts or other parts of plants'",0.322091772302,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '20 - Preparations of vegetables, fruit, nuts or other parts of plants'"")","(""Exports of '20 - Preparations of vegetables, fruit, nuts or other parts of plants'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'",0.313648338445,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'"")","(""Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Imports of '31 - Fertilizers',0.309656388581,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Imports of '31 - Fertilizers'"")","(""Imports of '31 - Fertilizers'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Wages of ''Fabricacao de coque, de produtos derivados do petroleo e de biocombustiveis' in 'All occupations''",0.292405688573,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Wages of ''Fabricacao de coque, de produtos derivados do petroleo e de biocombustiveis' in 'All occupations''"")","(""Wages of ''Fabricacao de coque, de produtos derivados do petroleo e de biocombustiveis' in 'All occupations''"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Wages of ''Extracao de minerais metalicos' in 'All occupations'',0.276622471557,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Wages of ''Extracao de minerais metalicos' in 'All occupations''"")","(""Wages of ''Extracao de minerais metalicos' in 'All occupations''"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'",Exports of '17 - Sugars and sugar confectionery',0.265141776951,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '17 - Sugars and sugar confectionery'"")","(""Exports of '17 - Sugars and sugar confectionery'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '22 - Beverages, spirits and vinegar'",0.242247411292,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '22 - Beverages, spirits and vinegar'"")","(""Exports of '22 - Beverages, spirits and vinegar'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '28 - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes'",0.234284860153,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '28 - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes'"")","(""Exports of '28 - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '82 - Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal'",0.221356968124,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '82 - Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal'"")","(""Exports of '82 - Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
