CIIU ID S,CIIU ID D,CIIU ID CL,CIIU label CL
7,46,4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
7,46,4662,Comercio al por mayor de metales y productos metalíferos
7,46,4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
7,46,4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
7,46,4665,"Comercio al por mayor de desperdicios, desechos y chatarra"
7,46,4669,Comercio al por mayor de otros productos n.c.p.
7,46,4690,Comercio al por mayor no especializado
7,47,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
7,47,4719,"Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco"
7,47,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados
7,47,4722,"Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados"
7,47,4723,"Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
7,47,4724,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados"
7,47,4729,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
7,47,4731,Comercio al por menor de combustible para automotores
7,47,4732,"Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores"
7,47,4741,"Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados"
7,47,4742,"Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados"
7,47,4751,Comercio al por menor de productos textiles en establecimientos especializados
7,47,4752,"Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados"
7,47,4753,"Comercio al por menor de tapices, alfombras y cubrimientos para paredes y pisos en establecimientos especializados"
7,47,4754,"Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
7,47,4755,Comercio al por menor de artículos y utensilios de uso doméstico
7,47,4759,Comercio al por menor de otros artículos domésticos en establecimientos especializados
7,47,4761,"Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados"
7,47,4762,"Comercio al por menor de artículos deportivos, en establecimientos especializados "
7,47,4769,Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados
7,47,4771,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados
7,47,4772,Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados.
