CNAE ID CNG,CNAE label CNG,annual_avg_emplvl,CLAE 3,Descripción CLAE 3,annual_avg_emplvl
153,Fabricacao de calcados,0.64,152,FABRICACIÓN DE CALZADO Y DE SUS PARTES,0.43
154,"Fabricacao de partes para calcados, de qualquer material",0.05,152,FABRICACIÓN DE CALZADO Y DE SUS PARTES,0.43
161,Desdobramento de madeira,0.17,161,ASERRADO Y CEPILLADO DE MADERA,0.28
162,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis",0.24,162,"FABRICACIÓN DE PRODUCTOS DE MADERA, CORCHO, PAJA Y MATERIALES TRENZABLES",0.33
171,Fabricacao de celulose e outras pastas para a fabricacao de papel,0.03,170,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,0.58
172,"Fabricacao de papel, cartolina e papel-cartao",0.08,170,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,0.58
173,"Fabricacao de embalagens de papel, cartolina, papel-cartao e papelao ondulado",0.14,170,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,0.58
174,"Fabricacao de produtos diversos de papel, cartolina, papel-cartao e papelao ondulado",0.12,170,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,0.58
181,Atividade de impressao,0.18,181,IMPRESIÓN Y SERVICIOS RELACIONADOS CON LA IMPRESIÓN,0.4
182,Servicos de pre-impressao e acabamentos graficos,0.07,181,IMPRESIÓN Y SERVICIOS RELACIONADOS CON LA IMPRESIÓN,0.4
183,Reproducao de materiais gravados em qualquer suporte,0.01,182,REPRODUCCIÓN DE GRABACIONES,0.0
191,Coquerias,0.0,191,FABRICACIÓN DE PRODUCTOS DE HORNOS DE COQUE,0.0
192,Fabricacao de produtos derivados do petroleo,0.08,192,FABRICACIÓN DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO,0.01
193,Fabricacao de biocombustiveis,0.25,193,Fabricacao de biocombustiveis,0.25
201,Fabricacao de produtos quimicos inorganicos,0.09,201,FABRICACIÓN DE SUSTANCIAS QUÍMICAS BÁSICAS,0.15
202,Fabricacao de produtos quimicos organicos,0.04,201,FABRICACIÓN DE SUSTANCIAS QUÍMICAS BÁSICAS,0.15
203,Fabricacao de resinas e elastomeros,0.02,202,FABRICACIÓN DE PRODUCTOS QUÍMICOS NCP,0.94
204,Fabricacao de fibras artificiais e sinteticas,0.01,203,FABRICACIÓN DE FIBRAS MANUFACTURADAS,0.0
205,Fabricacao de defensivos agricolas e desinfestantes domissanitarios,0.02,202,FABRICACIÓN DE PRODUCTOS QUÍMICOS NCP,0.94
206,"Fabricacao de saboes, detergentes, produtos de limpeza, cosmeticos, produtos de perfumaria e de higiene pessoal",0.18,202,FABRICACIÓN DE PRODUCTOS QUÍMICOS NCP,0.94
207,"Fabricacao de tintas, vernizes, esmaltes, lacas e produtos afins",0.07,202,FABRICACIÓN DE PRODUCTOS QUÍMICOS NCP,0.94
209,Fabricacao de produtos e preparados quimicos diversos,0.14,202,FABRICACIÓN DE PRODUCTOS QUÍMICOS NCP,0.94
211,Fabricacao de produtos farmoquimicos,0.01,210,"FABRICACIÓN DE PRODUCTOS FARMACEÚTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACEÚTICO",0.32
212,Fabricacao de produtos farmaceuticos,0.19,210,"FABRICACIÓN DE PRODUCTOS FARMACEÚTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACEÚTICO",0.32
221,Fabricacao de produtos de borracha,0.21,221,FABRICACIÓN DE PRODUCTOS DE CAUCHO,0.2
222,Fabricacao de produtos de material plastico,0.73,222,FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,1.15
231,Fabricacao de vidro e de produtos do vidro,0.09,231,FABRICACIÓN DE VIDRIO Y PRODUCTOS DE VIDRIO,0.15
232,Fabricacao de cimento,0.04,239,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS NCP,0.75
233,"Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",0.27,239,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS NCP,0.75
