CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
5612,Expendio por autoservicio de comidas preparadas,56,9,0
5613,Expendio de comidas preparadas en cafeterias,56,9,0
5619,Otros tipos de expendio de comidas preparadas n.c.p.,56,9,0
5621,Catering para eventos,56,9,0
5629,Actividades de otros servicios de comidas,56,9,0
5630,Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,56,9,0
5811,Edicion de libros,58,10,0
5812,Edicion de directorios y listas de correo,58,10,0
5813,"Edicion de periodicos, revistas y otras publicaciones periodicas",58,10,0
5819,Otros trabajos de edicion,58,10,0
5820,Edicion de programas de informatica (software),58,10,0
5911,"Actividades de produccion de peliculas cinematograficas, videos, programas, anuncios y comerciales de television",59,10,0
5912,"Actividades de posproduccion de peliculas cinematograficas, videos, programas, anuncios y comerciales de television",59,10,0
5913,"Actividades de distribucion de peliculas cinematograficas, videos, programas, anuncios y comerciales de television",59,10,0
5914,Actividades de exhibicion de peliculas cinematograficas y videos,59,10,0
5920,Actividades de grabacion de sonido y edicion de musica,59,10,0
6010,Actividades de programacion y transmision en el servicio de radiodifusion sonora,60,10,0
6020,Actividades de programacion y transmision de television,60,10,0
6110,Actividades de telecomunicaciones alambricas,61,10,0
6120,Actividades de telecomunicaciones inalambricas,61,10,0
6130,Actividades de telecomunicacion satelital,61,10,0
6190,Otras actividades de telecomunicaciones,61,10,0
6201,"Actividades de desarrollo de sistemas informaticos (planificacion, analisis, diseno, programacion, pruebas)",62,10,0
6202,Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,62,10,0
6209,Otras actividades de tecnologias de informacion y actividades de servicios informaticos,62,10,0
6311,"Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",63,10,0
6312,Portales web,63,10,0
6391,Actividades de agencias de noticias,63,10,0
6399,Otras actividades de servicio de informacion n.c.p.,63,10,0
6411,Banco central,64,11,0
6412,Bancos comerciales,64,11,0
6421,Actividades de las corporaciones financieras,64,11,0
6422,Actividades de las companias de financiamiento,64,11,0
6423,Banca de segundo piso,64,11,0
6424,Actividades de las cooperativas financieras,64,11,0
6431,"Fideicomisos, fondos y entidades financieras similares",64,11,0
6432,Fondos de cesantias,64,11,0
6491,Leasing financiero (arrendamiento financiero),64,11,0
6492,Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario,64,11,0
6493,Actividades de compra de cartera o factoring,64,11,0
6494,Otras actividades de distribucion de fondos,64,11,0
6495,Instituciones especiales oficiales,64,11,0
6499,"Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",64,11,0
6511,Seguros generales ,65,11,0
6512,Seguros de vida,65,11,0
6513,Reaseguros,65,11,0
6514,Capitalizacion,65,11,0
6521,Servicios de seguros sociales de salud,65,11,0
6522,Servicios de seguros sociales de riesgos profesionales,65,11,0
6531,Regimen de prima media con prestacion definida (rpm),65,11,0
6532,Regimen de ahorro individual (rai),65,11,0
6611,Administracion de mercados financieros,66,11,0
6612,Corretaje de valores y de contratos de productos basicos,66,11,0
6613,Otras actividades relacionadas con el mercado de valores,66,11,0
6614,Actividades de las casas de cambio,66,11,0
6615,Actividades de los profesionales de compra y venta de divisas,66,11,0
6619,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,66,11,0
6621,Actividades de agentes y corredores de seguros,66,11,0
6629,"Evaluacion de riesgos y danos, y otras actividades de servicios auxiliares",66,11,0
6630,Actividades de administracion de fondos,66,11,0
6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,68,12,0
6820,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata ,68,12,0
6910,Actividades juridicas,69,13,0
6920,"Actividades de contabilidad, teneduria de libros, auditoria financiera y asesoria tributaria",69,13,0
7010,Actividades de administracion empresarial,70,13,0
7020,Actividades de consultaria de gestion,70,13,0
7110,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,71,13,0
7120,Ensayos y analisis tecnicos,71,13,0
7210,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingenieria ,72,13,0
7220,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades,72,13,0
7310,Publicidad,73,13,0
7320,Estudios de mercado y realizacion de encuestas de opinion publica,73,13,0
7410,Actividades especializadas de diseno ,74,13,0
7420,Actividades de fotografia,74,13,0
7490,"Otras actividades profesionales, cientificas y tecnicas n.c.p.",74,13,0
7500,Actividades veterinarias,75,13,0
7710,Alquiler y arrendamiento de vehiculos automotores,77,14,0
7721,Alquiler y arrendamiento de equipo recreativo y deportivo,77,14,0
7722,Alquiler de videos y discos ,77,14,0
7729,Alquiler y arrendamiento de otros efectos personales y enseres domesticos n.c.p.,77,14,0
7730,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",77,14,0
7740,"Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor",77,14,0
7810,Actividades de agencias de empleo,78,14,0
7820,Actividades de agencias de empleo temporal,78,14,0
7830,Otras actividades de suministro de recurso humano,78,14,0
7911,Actividades de las agencias de viaje,79,14,0
7912,Actividades de operadores turisticos,79,14,0
7990,Otros servicios de reserva y actividades relacionadas,79,14,0
8010,Actividades de seguridad privada,80,14,0
8020,Actividades de servicios de sistemas de seguridad,80,14,0
8030,Actividades de detectives e investigadores privados,80,14,0
8110,Actividades combinadas de apoyo a instalaciones,81,14,0
8121,Limpieza general interior de edificios,81,14,0
8129,Otras actividades de limpieza de edificios e instalaciones industriales,81,14,0
8130,Actividades de paisajismo y servicios de mantenimiento conexos,81,14,0
8211,Actividades combinadas de servicios administrativos de oficina,82,14,0
8219,"Fotocopiado, preparacion de documentos y otras actividades especializadas de apoyo a oficina",82,14,0
8220,Actividades de centros de llamadas (call center),82,14,0
8230,Organizacion de convenciones y eventos comerciales,82,14,0
8291,Actividades de agencias de cobranza y oficinas de calificacion crediticia,82,14,0
8292,Actividades de envase y empaque,82,14,0
8299,Otras actividades de servicio de apoyo a las empresas n.c.p.,82,14,0
8411,Actividades legislativas de la administracion publica,84,15,0
8412,Actividades ejecutivas de la administracion publica,84,15,0
8413,"Regulacion de las actividades de organismos que prestan servicios de salud, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social ",84,15,0
8414,Actividades reguladoras y facilitadoras de la actividad economica,84,15,0
8415,Actividades de los otros organos de control,84,15,0
8421,Relaciones exteriores ,84,15,0
8422,Actividades de defensa,84,15,0
8423,Orden publico y actividades de seguridad,84,15,0
8424,Administracion de justicia,84,15,0
8430,Actividades de planes de seguridad social de afiliacion obligatoria,84,15,0
8511,Educacion de la primera infancia,85,16,0
8512,Educacion preescolar,85,16,0
8513,Educacion basica primaria,85,16,0
8521,Educacion basica secundaria ,85,16,0
8522,Educacion media academica,85,16,0
8523,Educacion media tecnica y de formacion laboral,85,16,0
8530,Establecimientos que combinan diferentes niveles de educacion ,85,16,0
8541,Educacion tecnica profesional,85,16,0
8542,Educacion tecnologica,85,16,0
8543,Educacion de instituciones universitarias o de escuelas tecnologicas,85,16,0
8544,Educacion de universidades,85,16,0
8551,Formacion academica no formal ,85,16,0
