,CIIU ID CI4,CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG,CIIU label CI4,labour
609,520.0,51.0,Extracción Y Aglomeración De Carbón,1429.0,Explotación de minas y canteras n.c.p.,50.0,Extracao de carvao mineral,Extraccion de carbon lignito,
367,,51.0,Extracción Y Aglomeración De Carbón,1429.0,Explotación de minas y canteras n.c.p.,50.0,Extracao de carvao mineral,,
32,610.0,61.0,Extracción De Petróleo Crudo,1110.0,Extracción de petróleo crudo y gas natural,60.0,Extracao de petroleo e gas natural,Extraccion de petroleo crudo,0.02
610,620.0,62.0,Extracción De Gas Natural,1110.0,Extracción de petróleo crudo y gas natural,60.0,Extracao de petroleo e gas natural,Extraccion de gas natural,
33,710.0,71.0,Extracción De Minerales De Hierro,1310.0,Extracción de minerales de hierro,71.0,Extracao de minerio de ferro,Extraccion de minerales de hierro,0.05
34,721.0,72.0,Extracción De Minerales Metalíferos No Ferrosos,1320.0,"Extracción de minerales metalíferos no ferrosos,  excepto minerales de uranio y torio",72.0,Extracao de minerais metalicos nao-ferrosos,Extraccion de minerales de uranio y de torio,0.0
611,722.0,72.0,Extracción De Minerales Metalíferos No Ferrosos,1320.0,"Extracción de minerales metalíferos no ferrosos,  excepto minerales de uranio y torio",72.0,Extracao de minerais metalicos nao-ferrosos,Extraccion de oro y otros metales preciosos,
612,723.0,72.0,Extracción De Minerales Metalíferos No Ferrosos,1320.0,"Extracción de minerales metalíferos no ferrosos,  excepto minerales de uranio y torio",72.0,Extracao de minerais metalicos nao-ferrosos,Extraccion de minerales de niquel,
35,729.0,72.0,Extracción De Minerales Metalíferos No Ferrosos,1320.0,"Extracción de minerales metalíferos no ferrosos,  excepto minerales de uranio y torio",72.0,Extracao de minerais metalicos nao-ferrosos,Extraccion de otros minerales metaliferos no ferrosos n.c.p.,0.48
365,,72.0,Extracción De Minerales Metalíferos No Ferrosos,1320.0,"Extracción de minerales metalíferos no ferrosos,  excepto minerales de uranio y torio",72.0,Extracao de minerais metalicos nao-ferrosos,,
613,820.0,72.0,Extracción De Minerales Metalíferos No Ferrosos,1411.0,Extracción de rocas ornamentales,72.0,Extracao de minerais metalicos nao-ferrosos,"Extraccion de esmeraldas, piedras preciosas y semipreciosas",
614,811.0,81.0,"Extracción De Piedra, Arena Y Arcillas",1412.0,Extracción de piedra caliza y yeso,81.0,"Extracao de pedra, areia e argila","Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita",
366,,81.0,"Extracción De Piedra, Arena Y Arcillas",1413.0,"Extracción de arenas, canto rodado y triturados pétreos",81.0,"Extracao de pedra, areia e argila",,
615,812.0,81.0,"Extracción De Piedra, Arena Y Arcillas",1414.0,Extracción de arcilla y caolín,81.0,"Extracao de pedra, areia e argila","Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas",
37,891.0,81.0,"Extracción De Piedra, Arena Y Arcillas",1421.0,"Extracción de minerales para la fabricación de abonos y productos químicos, excepto turba",81.0,"Extracao de pedra, areia e argila",Extraccion de minerales para la fabricacion de abonos y productos quimicos,0.01
616,892.0,81.0,"Extracción De Piedra, Arena Y Arcillas",1422.0,Extracción de sal en salinas y de roca,81.0,"Extracao de pedra, areia e argila",Extraccion de halita (sal),
39,899.0,89.0,Explotación De Minas Y Canteras Ncp,1429.0,Explotación de minas y canteras n.c.p.,89.0,Extracao de outros minerais nao-metalicos,Extraccion de otros minerales no metalicos n.c.p.,0.25
40,910.0,91.0,Servicios De Apoyo Para La Extracción De Petróleo Y Gas Natural,1120.0,"Actividades  de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",91.0,Atividades de apoio a extracao de petroleo e gas natural,Actividades de apoyo para la extraccion de petroleo y de gas natural,0.01
41,990.0,99.0,"Servicios De Apoyo Para La Minería, Excepto Para La Extracción De Petróleo  Y Gas Natural",1429.0,Explotación de minas y canteras n.c.p.,99.0,"Atividades de apoio a extracao de minerais, exceto petroleo e gas natural",Actividades de apoyo para otras actividades de explotacion de minas y canteras,0.08
617,1011.0,101.0,"Producción Y Procesamiento De Carne Y Productos Cárnicos, Excepto Pescado",1511.0,Producción y procesamiento de carne y productos cárnicos,101.0,Abate e fabricacao de produtos de carne,Procesamiento y conservacion de carne y productos carnicos,
368,,101.0,"Producción Y Procesamiento De Carne Y Productos Cárnicos, Excepto Pescado",1511.0,Producción y procesamiento de carne y productos cárnicos,101.0,Abate e fabricacao de produtos de carne,,
618,1012.0,102.0,Elaboración De Pescado Y Productos De Pescado,1512.0,Elaboración de pescado y productos de pescado,102.0,Preservacao do pescado e fabricacao de produtos do pescado,"Procesamiento y conservacion de pescados, crustaceos y moluscos",
369,,102.0,Elaboración De Pescado Y Productos De Pescado,1512.0,Elaboración de pescado y productos de pescado,102.0,Preservacao do pescado e fabricacao de produtos do pescado,,
43,1020.0,103.0,"Preparación De Frutas, Hortalizas Y Legumbres",1513.0,"Preparación de frutas, hortalizas y legumbres",103.0,"Fabricacao de conservas de frutas, legumes e outros vegetais","Procesamiento y conservacion de frutas, legumbres, hortalizas y tuberculos",0.18
370,,103.0,"Preparación De Frutas, Hortalizas Y Legumbres",1513.0,"Preparación de frutas, hortalizas y legumbres",103.0,"Fabricacao de conservas de frutas, legumes e outros vegetais",,
44,1030.0,104.0,Elaboración De Aceites Y Grasas De Origen Vegetal,1514.0,Elaboración de aceites y grasas de origen vegetal,104.0,Fabricacao de oleos e gorduras vegetais e animais,Elaboracion de aceites y grasas de origen vegetal y animal,0.29
371,,104.0,Elaboración De Aceites Y Grasas De Origen Vegetal,1514.0,Elaboración de aceites y grasas de origen vegetal,104.0,Fabricacao de oleos e gorduras vegetais e animais,,
45,1040.0,105.0,Elaboración De Productos Lácteos,1520.0,Elaboración de productos lácteos,105.0,Laticinios,Elaboracion de productos lacteos,0.03
372,,105.0,Elaboración De Productos Lácteos,1520.0,Elaboración de productos lácteos,105.0,Laticinios,,
619,1051.0,106.0,"Elaboración De Productos De Molinería, Almidones Y Productos Derivados Del Almidón",1531.0,Elaboración de productos de molinería,106.0,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais",Elaboracion de productos de molineria,
373,,106.0,"Elaboración De Productos De Molinería, Almidones Y Productos Derivados Del Almidón",1531.0,Elaboración de productos de molinería,106.0,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais",,
620,1052.0,106.0,"Elaboración De Productos De Molinería, Almidones Y Productos Derivados Del Almidón",1532.0,Elaboración de almidones y productos derivados del almidón,106.0,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais",Elaboracion de almidones y productos derivados del almidon,
374,,106.0,"Elaboración De Productos De Molinería, Almidones Y Productos Derivados Del Almidón",1532.0,Elaboración de almidones y productos derivados del almidón,106.0,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais",,
49,1071.0,107.0,Elaboración De Productos Alimenticios Ncp,1542.0,Elaboración de azúcar,107.0,Fabricacao e refino de acucar,Elaboracion y refinacion de azucar,1.18
377,,107.0,Elaboración De Productos Alimenticios Ncp,1542.0,Elaboración de azúcar,107.0,Fabricacao e refino de acucar,,
47,1061.0,107.0,Elaboración De Productos Alimenticios Ncp,1549.0,Elaboración de productos alimenticios n.c.p.,109.0,Fabricacao de outros produtos alimenticios,Trilla de cafe,0.07
48,1062.0,107.0,Elaboración De Productos Alimenticios Ncp,1549.0,Elaboración de productos alimenticios n.c.p.,109.0,Fabricacao de outros produtos alimenticios,"Descafeinado, tostion y molienda del cafe",0.0
627,1063.0,107.0,Elaboración De Productos Alimenticios Ncp,1549.0,Elaboración de productos alimenticios n.c.p.,109.0,Fabricacao de outros produtos alimenticios,Otros derivados del cafe,
50,1072.0,107.0,Elaboración De Productos Alimenticios Ncp,1549.0,Elaboración de productos alimenticios n.c.p.,109.0,Fabricacao de outros produtos alimenticios,Elaboracion de panela,0.0
626,1089.0,107.0,Elaboración De Productos Alimenticios Ncp,1549.0,Elaboración de productos alimenticios n.c.p.,109.0,Fabricacao de outros produtos alimenticios,Elaboracion de otros productos alimenticios n.c.p.,
380,,107.0,Elaboración De Productos Alimenticios Ncp,1549.0,Elaboración de productos alimenticios n.c.p.,109.0,Fabricacao de outros produtos alimenticios,,
