CNAE ID CNG,CNAE label CNG,annual_avg_emplvl
466,"Comercio atacadista de maquinas, aparelhos e equipamentos, exceto de tecnologias de informacao e comunicacao",0.25
467,"Comercio atacadista de madeira, ferragens, ferramentas, material eletrico e material de construcao",0.24
468,Comercio atacadista especializado em outros produtos,0.46
469,Comercio atacadista nao-especializado,0.28
471,Comercio varejista nao-especializado,3.45
472,"Comercio varejista de produtos alimenticios, bebidas e fumo",1.27
473,Comercio varejista de combustiveis para veiculos automotores,0.72
474,Comercio varejista de material de construcao,1.66
475,Comercio varejista de equipamentos de informatica e comunicacao; equipamentos e artigos de uso domestico,1.93
476,"Comercio varejista de artigos culturais, recreativos e esportivos",0.45
477,"Comercio varejista de produtos farmaceuticos, perfumaria e cosmeticos e artigos medicos, opticos e ortopedicos",1.24
478,Comercio varejista de produtos novos nao especificados anteriormente e de produtos usados,3.15
491,Transporte ferroviario e metroferroviario,0.13
492,Transporte rodoviario de passageiros,1.55
493,Transporte rodoviario de carga,1.81
494,Transporte dutoviario,0.01
495,"Trens turisticos, telefericos e similares",0.0
501,Transporte maritimo de cabotagem e longo curso,0.02
502,Transporte por navegacao interior,0.02
503,Navegacao de apoio,0.03
509,Outros transportes aquaviarios,0.01
511,Transporte aereo de passageiros,0.14
512,Transporte aereo de carga,0.0
513,Transporte espacial,0.0
521,"Armazenamento, carga e descarga",0.26
522,Atividades auxiliares dos transportes terrestres,0.26
523,Atividades auxiliares dos transportes aquaviarios,0.1
524,Atividades auxiliares dos transportes aereos,0.09
525,Atividades relacionadas a organizacao do transporte de carga,0.16
531,Atividades de correio,0.28
532,Atividades de malote e de entrega,0.11
551,Hoteis e similares,0.64
559,Outros tipos de alojamento nao especificados anteriormente,0.04
561,Restaurantes e outros servicos de alimentacao e bebidas,2.46
562,"Servicos de catering, bufe e outros servicos de comida preparada",0.58
581,"Edicao de livros, jornais, revistas e outras atividades de edicao",0.07
582,"Edicao integrada a impressao de livros, jornais, revistas e outras publicacoes",0.16
591,"Atividades cinematograficas, producao de videos e de programas de televisao",0.05
592,Atividades de gravacao de som e de edicao de musica,0.01
601,Atividades de radio,0.08
602,Atividades de televisao,0.12
611,Telecomunicacoes por fio,0.13
612,Telecomunicacoes sem fio,0.08
613,Telecomunicacoes por satelite,0.0
614,Operadoras de televisao por assinatura,0.03
619,Outras atividades de telecomunicacoes,0.16
620,Atividades dos servicos de tecnologia da informacao,0.66
631,"Tratamento de dados, hospedagem na internet e outras atividades relacionadas",0.18
639,Outras atividades de prestacao de servicos de informacao,0.06
641,Banco central,0.01
642,Intermediacao monetaria - depositos a vista,1.14
643,Intermediacao nao-monetaria - outros instrumentos de captacao,0.04
644,Arrendamento mercantil,0.0
645,Sociedades de capitalizacao,0.0
646,Atividades de sociedades de participacao,0.08
647,Fundos de investimento,0.0
649,Atividades de servicos financeiros nao especificadas anteriormente,0.05
651,Seguros de vida e nao-vida,0.09
652,Seguros-saude,0.01
653,Resseguros,0.0
654,Previdencia complementar,0.03
655,Planos de saude,0.16
661,Atividades auxiliares dos servicos financeiros,0.08
662,"Atividades auxiliares dos seguros, da previdencia complementar e dos planos de saude",0.1
663,Atividades de administracao de fundos por contrato ou comissao,0.01
681,Atividades imobiliarias de imoveis proprios,0.09
682,Atividades imobiliarias por contrato ou comissao,0.18
691,Atividades juridicas,0.31
692,"Atividades de contabilidade, consultoria e auditoria contabil e tributaria",0.52
702,Atividades de consultoria em gestao empresarial,0.21
711,Servicos de arquitetura e engenharia e atividades tecnicas relacionadas,0.6
712,Testes e analises tecnicas,0.05
721,Pesquisa e desenvolvimento experimental em ciencias fisicas e naturais,0.08
722,Pesquisa e desenvolvimento experimental em ciencias sociais e humanas,0.01
731,Publicidade,0.17
732,Pesquisas de mercado e de opiniao publica,0.02
741,Design e decoracao de interiores,0.01
742,Atividades fotograficas e similares,0.04
749,"Atividades profissionais, cientificas e tecnicas nao especificadas anteriormente",0.16
750,Atividades veterinarias,0.01
771,Locacao de meios de transporte sem condutor,0.11
772,Aluguel de objetos pessoais e domesticos,0.06
773,Aluguel de maquinas e equipamentos sem operador,0.26
774,Gestao de ativos intangiveis nao-financeiros,0.01
781,Selecao e agenciamento de mao-de-obra,0.28
782,Locacao de mao-de-obra temporaria,0.68
783,Fornecimento e gestao de recursos humanos para terceiros,0.22
791,Agencias de viagens e operadores turisticos,0.15
799,Servicos de reservas e outros servicos de turismo nao especificados anteriormente,0.01
801,"Atividades de vigilancia, seguranca privada e transporte de valores",1.31
802,Atividades de monitoramento de sistemas de seguranca,0.1
803,Atividades de investigacao particular,0.0
811,Servicos combinados para apoio a edificios,1.41
812,Atividades de limpeza,1.6
813,Atividades paisagisticas,0.04
821,Servicos de escritorio e apoio administrativo,0.56
822,Atividades de teleatendimento,0.91
823,"Atividades de organizacao de eventos, exceto culturais e esportivos",0.08
829,Outras atividades de servicos prestados principalmente as empresas,1.11
841,Administracao do estado e da politica economica e social,17.02
842,Servicos coletivos prestados pela administracao publica,2.08
843,Seguridade social obrigatoria,0.11
851,Educacao infantil e ensino fundamental,1.09
852,Ensino medio,0.3
853,Educacao superior,1.42
854,Educacao profissional de nivel tecnico e tecnologico,0.16
855,Atividades de apoio a educacao,0.06
859,Outras atividades de ensino,0.7
861,Atividades de atendimento hospitalar,2.19
862,Servicos moveis de atendimento a urgencias e de remocao de pacientes,0.02
863,Atividades de atencao ambulatorial executadas por medicos e odontologos,0.55
864,Atividades de servicos de complementacao diagnostica e terapeutica,0.41
865,"Atividades de profissionais da area de saude, exceto medicos e odontologos",0.14
866,Atividades de apoio a gestao de saude,0.09
869,Atividades de atencao a saude humana nao especificadas anteriormente,0.2
871,"Atividades de assistencia a idosos, deficientes fisicos, imunodeprimidos e convalescentes, e de infra-estrutura e apoio a pacientes prestadas em residencias coletivas e particulares",0.1
872,"Atividades de assistencia psicossocial e a saude a portadores de disturbios psiquicos, deficiencia mental e dependencia quimica",0.03
873,Atividades de assistencia social prestadas em residencias coletivas e particulares,0.08
880,Servicos de assistencia social sem alojamento,0.26
900,"Atividades artisticas, criativas e de espetaculos",0.04
910,Atividades ligadas ao patrimonio cultural e ambiental,0.01
920,Atividades de exploracao de jogos de azar e apostas,0.0
931,Atividades esportivas,0.34
932,Atividades de recreacao e lazer,0.09
941,"Atividades de organizacoes associativas patronais, empresariais e profissionais",0.16
942,Atividades de organizacoes sindicais,0.26
943,Atividades de associacoes de defesa de direitos sociais,0.78
949,Atividades de organizacoes associativas nao especificadas anteriormente,0.62
951,Reparacao e manutencao de equipamentos de informatica e comunicacao,0.13
952,Reparacao e manutencao de objetos e equipamentos pessoais e domesticos,0.12
960,Outras atividades de servicos pessoais,0.46
970,Servicos domesticos,0.01
990,Organismos internacionais e outras instituicoes extraterritoriais,0.01
