,0,1,2,3,4,5,6,7,8,9
01081,1621.8,339.866666667,104.9,101.683333333,41.4833333333,0.6,12.05,0.933333333333,3.6,1.2
01083,753.3,164.433333333,57.0833333333,39.0,28.45,2.2,6.7,0.0,1.2,0.0
01085,75.0,13.05,8.85,31.8,4.2,1.2,3.8,0.0,1.95,0.6
01087,126.533333333,20.3833333333,8.8,31.55,12.85,0.0,0.6,0.0,1.7,0.0
01089,4833.4,2087.2,323.733333333,214.65,206.483333333,1.2,35.8833333333,1.0,1.2,0.0
01091,298.083333333,46.7666666667,31.6333333333,54.2,11.9833333333,0.0,3.4,1.26666666667,7.4,0.6
01093,340.083333333,45.9,72.6,55.55,10.55,1.0,3.73333333333,0.0,7.0,0.0
01095,1275.0,292.133333333,107.55,116.916666667,38.95,8.33333333333,20.9,0.6,0.6,2.8
01097,6379.6,1902.2,420.6,362.2,232.533333333,1.46666666667,52.5166666667,21.7,14.0,41.4
01099,251.133333333,56.1333333333,11.9666666667,48.35,12.5166666667,0.333333333333,3.2,0.6,8.66666666667,0.0
01101,4242.6,1340.2,229.366666667,382.35,129.75,1.4,24.2833333333,1.2,9.4,6.73333333333
01103,1831.8,493.4,158.1,140.65,44.05,0.0,32.2,1.75,2.4,2.3
01105,96.1333333333,12.5333333333,5.03333333333,22.1666666667,3.0,1.4,2.53333333333,0.0,0.6,1.2
01107,195.933333333,19.8666666667,21.25,42.8333333333,5.0,3.8,2.2,1.86666666667,14.4,0.0
01109,419.3,78.5666666667,33.3,35.15,18.4833333333,2.0,3.2,0.0,1.5,1.6
01111,243.3,25.25,20.2666666667,30.1,8.93333333333,0.666666666667,2.4,0.6,1.26666666667,2.4
01113,588.0,98.95,34.2,55.0,11.0166666667,0.0,10.4,0.0,2.8,1.6
01115,749.1,197.683333333,72.5666666667,84.55,28.2833333333,2.4,10.5333333333,0.6,1.4,1.2
01117,2430.2,1056.8,142.366666667,109.766666667,85.0833333333,0.666666666667,18.0,2.2,5.6,0.6
01119,127.283333333,28.9833333333,11.9333333333,27.3333333333,10.0,2.2,1.6,0.0,3.15,1.2
01121,924.7,160.7,76.2666666667,95.4333333333,25.7,1.0,15.4333333333,1.5,0.6,3.0
01123,583.5,90.0333333333,37.7333333333,56.25,9.03333333333,0.0,3.75,0.0,3.0,0.8
01125,2912.4,647.4,183.4,128.316666667,73.2,1.0,27.6,28.8,21.55,0.6
01127,923.066666667,149.7,87.65,87.0,20.4,1.0,9.1,1.4,14.0,0.0
01129,109.95,21.0666666667,13.3333333333,41.6833333333,4.08333333333,0.75,4.15,1.8,6.0,0.0
01131,140.2,25.9166666667,9.6,30.45,4.8,0.0,1.8,0.6,3.8,0.0
01133,274.0,56.35,53.4,48.8166666667,12.55,1.2,3.0,0.0,6.8,0.8
01999,1670.2,5822.7,142.7,25.6333333333,386.333333333,0.0,24.5833333333,39.2,6.86666666667,3.46666666667
02013,18.0,14.8,0.0,34.2,6.6,0.0,0.0,0.0,0.0,7.6
02016,53.4,19.65,3.73333333333,38.4,11.8,0.0,0.0,0.0,0.0,14.0
02020,4724.9,1910.2,235.0,187.183333333,360.666666667,1.0,25.35,54.4,2.2,23.0
02050,104.533333333,46.2,6.06666666666,106.75,32.4,0.0,0.75,0.0,0.5,2.6
02060,20.3333333333,8.2,2.0,28.4,8.4,0.0,0.0,0.0,0.0,8.7
02068,48.1333333333,5.33333333333,2.55,16.8,8.2,0.0,0.75,0.0,0.6,3.4
02070,33.1333333333,10.2333333333,7.15,58.5333333333,13.8,0.0,0.0,0.0,0.0,3.8
02090,1398.0,335.766666667,89.6833333333,106.4,83.55,0.0,10.4666666667,7.0,3.2,10.6
02100,53.0,6.98333333333,5.4,19.3,9.65,0.0,0.0,0.0,0.0,4.33333333333
02110,643.866666667,147.45,27.05,86.4,46.9166666667,2.2,0.75,1.2,2.75,14.6
02122,1092.03333333,212.4,59.0666666667,229.25,48.75,2.2,3.91666666667,38.4,2.0,36.6
02130,294.716666667,56.8333333333,16.6,76.4,26.2666666667,0.6,0.0,0.333333333333,2.8,16.0
02150,172.95,68.15,16.5833333333,76.55,21.4,1.6,1.75,0.0,1.2,24.2
02164,11.4,11.35,1.0,59.0,9.86666666667,0.0,0.0,1.0,0.0,5.4
02170,1056.35,222.466666667,44.0833333333,106.15,42.6666666667,1.2,6.0,1.4,1.55,4.7
02180,76.1666666667,25.2,2.55,98.15,29.4,0.0,0.0,0.0,0.0,2.4
