comuna_id,comuna_nam,area_id,area_name,area_km2,poblacion,densidad
239,Puqueldón,102.0,Chiloé,97.3,4097,42.1068859198
80,Dalcahue,102.0,Chiloé,1239.4,14548,11.7379377118
75,Curaco de Vélez,102.0,Chiloé,80.0,3884,48.55
47,Chonchi,102.0,Chiloé,1362.1,14639,10.7473753763
32,Castro,102.0,Chiloé,472.5,50764,107.437037037
6,Ancud,102.0,Chiloé,1752.4,41960,23.9443049532
235,Puerto Varas,101.0,Llanquihue,4064.9,39414,9.69617948781
233,Puerto Montt,101.0,Llanquihue,1673.0,248945,148.801554094
169,Maullín,101.0,Llanquihue,860.8,13914,16.1640334572
154,Los Muermos,101.0,Llanquihue,1245.8,16522,13.2621608605
141,Llanquihue,101.0,Llanquihue,420.8,18151,43.1345057034
95,Frutillar,101.0,Llanquihue,831.4,17756,21.3567476546
94,Fresia,101.0,Llanquihue,1278.1,12454,9.74415147485
50,Cochamó,101.0,Llanquihue,3910.8,4326,1.10616753605
20,Calbuco,101.0,Llanquihue,590.8,34902,59.0758293839
198,Palena,104.0,Palena,2763.7,1665,0.602453232985
104,Hualaihué,104.0,Palena,2787.7,8426,3.02256340352
96,Futaleufú,104.0,Palena,1280.0,1836,1.434375
37,Chaitén,104.0,Palena,8470.5,7122,0.840800425004
325,Tortel,113.0,Capitán Prat,19710.6,531,0.0269398191836
187,O'Higgins,113.0,Capitán Prat,8182.5,700,0.08554842652
51,Cochrane,113.0,Capitán Prat,8599.5,2759,0.320832606547
272,Río Ibáñez,114.0,General Carrera,5997.2,2208,0.368171813513
42,Chile Chico,114.0,General Carrera,5737.1,5334,0.929738020951
129,Lago Verde,111.0,Coihaique,5422.3,925,0.170591815281
54,Coihaique,111.0,Coihaique,7290.2,59221,8.12337110093
102,Guaitecas,112.0,Aisén,620.6,1862,3.00032226877
48,Cisnes,112.0,Aisén,16093.0,6166,0.383147952526
13,Aysén,112.0,Aisén,29796.4,27187,0.912425662161
324,Torres del Paine,124.0,Última Esperanza,6630.0,1163,0.175414781297
179,Natales,124.0,Última Esperanza,49924.1,21327,0.427188472101
319,Timaukel,123.0,Tierra del Fuego,10758.9,873,0.0811421241949
227,Primavera,123.0,Tierra del Fuego,4253.4,803,0.188790144355
225,Porvenir,123.0,Tierra del Fuego,9707.4,5650,0.582030203762
287,San Gregorio,121.0,Magallanes,6883.7,731,0.106192890451
274,Río Verde,121.0,Magallanes,17248.0,363,0.0210459183673
238,Punta Arenas,121.0,Magallanes,17846.3,125483,7.03131741593
130,Laguna Blanca,121.0,Magallanes,3695.6,631,0.170743586968
17,Cabo de Hornos,122.0,Antártica Chilena,15578.7,1677,0.10764697953
318,Til-Til,133.0,Chacabuco,653.0,16405,25.1225114855
59,Colina,133.0,Chacabuco,971.2,113340,116.700988468
310,Talagante,136.0,Talagante,126.0,78887,626.087301587
211,Peñaflor,136.0,Talagante,69.0,87741,1271.60869565
193,Padre Hurtado,136.0,Talagante,80.8,50696,627.425742574
114,Isla de Maipo,136.0,Talagante,189.0,33723,178.428571429
85,El Monte,136.0,Talagante,118.0,32468,275.152542373
296,San Pedro,135.0,Melipilla,788.0,8062,10.230964467
172,Melipilla,135.0,Melipilla,1345.0,107698,80.0728624535
166,María Pinto,135.0,Melipilla,393.5,12501,31.7687420584
74,Curacaví,135.0,Melipilla,693.0,28439,41.0375180375
2,Alhué,135.0,Melipilla,845.0,4646,5.49822485207
291,San José de Maipo,132.0,Cordillera,4994.8,14455,2.89400977016
232,Puente Alto,132.0,Cordillera,88.0,757721,8610.46590909
221,Pirque,132.0,Cordillera,445.3,20732,46.5573770492
280,San Bernardo,134.0,Maipo,155.0,277802,1792.27096774
197,Paine,134.0,Maipo,820.0,66512,81.112195122
23,Calera de Tango,134.0,Maipo,73.3,27781,379.004092769
14,Buin,134.0,Maipo,214.0,74232,346.878504673
329,Valdivia,141.0,Valdivia,1016.0,163148,160.578740157
200,Panguipulli,141.0,Valdivia,3292.0,35185,10.6880315917
196,Paillaco,141.0,Valdivia,896.0,19898,22.2075892857
167,Mariquina,141.0,Valdivia,1320.5,19823,15.011737978
161,Máfil,141.0,Valdivia,583.0,7006,12.0171526587
153,Los Lagos,141.0,Valdivia,1791.2,18733,10.4583519428
132,Lanco,141.0,Valdivia,532.4,16663,31.2978963186
71,Corral,141.0,Valdivia,767.0,5084,6.62842242503
269,Río Bueno,142.0,Ranco,2211.7,31343,14.1714518244
128,Lago Ranco,142.0,Ranco,1763.3,9380,5.31957125844
127,La Unión,142.0,Ranco,2137.0,38544,18.036499766
97,Futrono,142.0,Ranco,2267.5,15811,6.97287761852
243,Putre,152.0,Parinacota,5902.5,1462,0.247691656078
99,General Lagos,152.0,Parinacota,2244.4,739,0.329263945821
25,Camarones,151.0,Arica,3927.0,679,0.172905525847
12,Arica,151.0,Arica,4799.4,210936,43.9504938117
