area_fips,industry_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
02000,3212,1.8,0.0,0.0
02000,3219,8.2,0.0,0.0
02000,3221,0.333333333333,0.0,0.0
02000,3222,1.0,0.0,0.0
02000,3231,46.4,435.4,12576436.0
02000,3241,8.6,404.2,34296364.8
02000,3251,0.333333333333,0.0,0.0
02000,3252,1.0,0.0,0.0
02000,3253,0.8,0.0,0.0
02000,3254,0.8,0.0,0.0
02000,3256,2.0,0.0,0.0
02000,3259,1.0,0.0,0.0
02000,3261,5.2,0.0,0.0
02000,3262,0.0,0.0,0.0
02000,3271,0.8,0.0,0.0
02000,3272,0.8,0.0,0.0
02000,3273,27.0,297.6,15055948.4
02000,3279,2.8,5.4,143461.6
02000,3311,0.333333333333,0.0,0.0
02000,3312,0.6,0.0,0.0
02000,3321,1.2,0.0,0.0
02000,3322,3.0,17.8,453309.4
02000,3323,17.2,132.4,5086178.6
02000,3324,0.75,0.0,0.0
02000,3325,0.75,0.0,0.0
02000,3326,1.0,0.0,0.0
02000,3327,18.2,122.4,6111217.6
02000,3328,1.2,0.0,0.0
02000,3329,2.6,4.2,173644.2
02000,3331,0.6,0.0,0.0
02000,3333,0.0,0.0,0.0
02000,3334,1.5,0.0,0.0
02000,3336,0.0,0.0,0.0
02000,3339,4.0,15.2,753274.0
02000,3341,0.0,0.0,0.0
02000,3342,0.666666666667,0.0,0.0
02000,3344,1.0,0.0,0.0
02000,3345,2.6,0.0,0.0
02000,3353,5.2,4.8,183979.0
02000,3359,1.33333333333,0.0,0.0
02000,3362,3.4,4.0,90357.2
02000,3363,0.6,0.0,0.0
02000,3364,7.4,35.0,1163800.0
02000,3366,18.6,192.4,7219902.4
02000,3369,0.0,0.0,0.0
02000,3371,30.8,112.6,3153542.6
02000,3372,2.4,0.0,0.0
02000,3379,1.2,0.0,0.0
02000,3391,18.8,71.6,2588470.4
02000,3399,22.6,124.4,3627390.8
02000,4231,16.2,157.0,5268824.0
02000,4232,3.6,0.0,0.0
02000,4233,18.6,129.6,5696322.4
02000,4234,46.8,334.0,16153291.0
02000,4235,8.6,105.2,4425649.4
