1,custom_id3,CLAE 3,Descripción CLAE 3,CLAE ID 2,Ramas,Descripción,letra,clanae,sector,dpe,dígitos,sector.1,CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
53.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11323,6,Cultivos de frutas de carozo n.c.p.,,,,,
54.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,1133,11.33,011.33,5,Cultivo de frutas cítricas.,,,,,
55.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11331,6,Limón,,,,,
56.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11332,6,Mandarina,,,,,
57.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11333,6,Naranja,,,,,
58.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11334,6,Pomelo,,,,,
59.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11335,6,Cultivos de frutas cítricas n.c.p.,,,,,
60.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,1134,11.34,011.34,5,Cultivo de nueces y frutas secas.,,,,,
61.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11341,6,Nuez,,,,,
62.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,,,11342,6,Cultivos de nueces y frutas secas n.c.p.,,,,,
63.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,1135,11.35,011.35,5,Cultivo de frutas tropicales.,,,,,
