a03213,Aquicultura em agua salgada e salobra,32110,CULTIVO Y CRIANZA DE PECES MARINOS
a03213,Aquicultura em agua salgada e salobra,32120,"CULTIVO, REPRODUCCIÓN Y MANEJO DE ALGAS MARINAS"
a03213,Aquicultura em agua salgada e salobra,32130,"REPRODUCCIÓN Y CRÍA DE MOLUSCOS, CRUSTÁCEOS Y GUSANOS MARINOS"
a03213,Aquicultura em agua salgada e salobra,32140,SERVICIOS RELACIONADOS CON LA ACUICULTURA MARINA
a03221,Aquicultura em agua doce,32200,ACUICULTURA DE AGUA DULCE
b05003,Extracao de carvao mineral,,
b06000,Extracao de petroleo e gas natural,,
b07103,Extracao de minerio de ferro,,
b07219,Extracao de minerio de aluminio,,
b07227,Extracao de minerio de estanho,,
b07235,Extracao de minerio de manganes,,
b07243,Extracao de minerio de metais preciosos,,
b07251,Extracao de minerais radioativos,,
b07294,Extracao de minerais metalicos nao-ferrosos nao especificados anteriormente,,
b08100,"Extracao de pedra, areia e argila",,
b08916,"Extracao de minerais para fabricacao de adubos, fertilizantes e outros produtos quimicos",,
b08924,Extracao e refino de sal marinho e sal-gema,,
b08932,Extracao de gemas (pedras preciosas e semipreciosas),,
b08991,Extracao de minerais nao-metalicos nao especificados anteriormente,,
b09106,Atividades de apoio a extracao de petroleo e gas natural,,
b09904,"Atividades de apoio a extracao de minerais, exceto petroleo e gas natural",,
c10112,"Abate de reses, exceto suinos",,
c10121,"Abate de suinos, aves e outros pequenos animais",,
c10139,Fabricacao de produtos de carne,,
c10201,Preservacao do pescado e fabricacao de produtos do pescado,,
c10317,Fabricacao de conservas de frutas,,
c10325,Fabricacao de conservas de legumes e outros vegetais,,
c10333,"Fabricacao de sucos de frutas, hortalicas e legumes",,
c10414,"Fabricacao de oleos vegetais em bruto, exceto oleo de milho",,
c10422,"Fabricacao de oleos vegetais refinados, exceto oleo de milho",,
c10431,Fabricacao de margarina e outras gorduras vegetais e de oleos nao-comestiveis de animais,,
c10511,Preparacao do leite,,
c10520,Fabricacao de laticinios,,
c10538,Fabricacao de sorvetes e outros gelados comestiveis,,
c10619,Beneficiamento de arroz e fabricacao de produtos do arroz,,
c10627,Moagem de trigo e fabricacao de derivados,,
c10635,Fabricacao de farinha de mandioca e derivados,,
c10643,"Fabricacao de farinha de milho e derivados, exceto oleos de milho",,
c10651,Fabricacao de amidos e feculas de vegetais e de oleos de milho,,
c10660,Fabricacao de alimentos para animais,,
c10694,Moagem e fabricacao de produtos de origem vegetal nao especificados anteriormente,,
c10716,Fabricacao de acucar em bruto,,
c10724,Fabricacao de acucar refinado,,
c10813,Torrefacao e moagem de cafe,,
c10821,Fabricacao de produtos a base de cafe,,
c10911,Fabricacao de produtos de panificacao,,
c10929,Fabricacao de biscoitos e bolachas,,
c10937,"Fabricacao de produtos derivados do cacau, de chocolates e confeitos",,
c10945,Fabricacao de massas alimenticias,,
c10953,"Fabricacao de especiarias, molhos, temperos e condimentos",,
c10961,Fabricacao de alimentos e pratos prontos,,
c10996,Fabricacao de produtos alimenticios nao especificados anteriormente,,
c11119,Fabricacao de aguardentes e outras bebidas destiladas,,
c11127,Fabricacao de vinho,,
c11135,"Fabricacao de malte, cervejas e chopes",,
c11216,Fabricacao de aguas envasadas,,
c11224,Fabricacao de refrigerantes e de outras bebidas nao-alcoolicas,,
c12107,Processamento industrial do fumo,,
c12204,Fabricacao de produtos do fumo,,
c13111,Preparacao e fiacao de fibras de algodao,,
c13120,"Preparacao e fiacao de fibras texteis naturais, exceto algodao",,
c13138,Fiacao de fibras artificiais e sinteticas,,
c13146,Fabricacao de linhas para costurar e bordar,,
c13219,Tecelagem de fios de algodao,,
c13227,"Tecelagem de fios de fibras texteis naturais, exceto algodao",,
c13235,Tecelagem de fios de fibras artificiais e sinteticas,,
c13308,Fabricacao de tecidos de malha,,
c13405,"Acabamentos em fios, tecidos e artefatos texteis",,
c13511,Fabricacao de artefatos texteis para uso domestico,,
c13529,Fabricacao de artefatos de tapecaria,,
c13537,Fabricacao de artefatos de cordoaria,,
c13545,"Fabricacao de tecidos especiais, inclusive artefatos",,
c13596,Fabricacao de outros produtos texteis nao especificados anteriormente,,
c14118,Confeccao de roupas intimas,,
c14126,"Confeccao de pecas do vestuario, exceto roupas intimas",,
c14134,Confeccao de roupas profissionais,,
c14142,"Fabricacao de acessorios do vestuario, exceto para seguranca e protecao",,
c14215,Fabricacao de meias,,
c14223,"Fabricacao de artigos do vestuario, produzidos em malharias e tricotagens, exceto meias",,
c15106,Curtimento e outras preparacoes de couro,,
c15211,"Fabricacao de artigos para viagem, bolsas e semelhantes de qualquer material",,
c15297,Fabricacao de artefatos de couro nao especificados anteriormente,,
c15319,Fabricacao de calcados de couro,,
c15327,Fabricacao de tenis de qualquer material,,
c15335,Fabricacao de calcados de material sintetico,,
c15394,Fabricacao de calcados de materiais nao especificados anteriormente,,
c15408,"Fabricacao de partes para calcados, de qualquer material",,
c16102,Desdobramento de madeira,,
c16218,"Fabricacao de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",,
c16226,"Fabricacao de estruturas de madeira e de artigos de carpintaria para 
construcao",,
c16234,Fabricacao de artefatos de tanoaria e de embalagens de madeira,,
c16293,"Fabricacao de artefatos de madeira, palha, cortica, vime e material trancado nao especificados anteriormente, exceto moveis",,
c17109,Fabricacao de celulose e outras pastas para a fabricacao de papel,,
c17214,Fabricacao de papel,,
c17222,Fabricacao de cartolina e papel-cartao,,
c17311,Fabricacao de embalagens de papel,,
c17320,Fabricacao de embalagens de cartolina e papel-cartao,,
c17338,Fabricacao de chapas e de embalagens de papelao ondulado,,
c17419,"Fabricacao de produtos de papel, cartolina, papel-cartao e papelao ondulado para uso comercial e de escritorio",,
c17427,Fabricacao de produtos de papel para usos domestico e higienico-sanitario,,
c17494,"Fabricacao de produtos de pastas celulosicas, papel, cartolina, papel-cartao e papelao ondulado nao especificados anteriormente",,
c18113,"Impressao de jornais, livros, revistas e outras publicacoes periodicas",,
c18121,Impressao de material de seguranca,,
c18130,Impressao de materiais para outros usos,,
c18211,Servicos de pre-impressao,,
c18229,Servicos de acabamentos graficos,,
c18300,Reproducao de materiais gravados em qualquer suporte,,
c19101,Coquerias,,
c19217,Fabricacao de produtos do refino de petroleo,,
c19225,"Fabricacao de produtos derivados do petroleo, exceto produtos do refino",,
c19314,Fabricacao de alcool,,
c19322,"Fabricacao de biocombustiveis, exceto alcool",,
c20118,Fabricacao de cloro e alcalis,,
c20126,Fabricacao de intermediarios para fertilizantes,,
c20134,Fabricacao de adubos e fertilizantes,,
c20142,Fabricacao de gases industriais,,
c20193,Fabricacao de produtos quimicos inorganicos nao especificados anteriormente,,
c20215,Fabricacao de produtos petroquimicos basicos,,
c20223,"Fabricacao de intermediarios para plastificantes, resinas e fibras",,
c20291,Fabricacao de produtos quimicos organicos nao especificados anteriormente,,
c20312,Fabricacao de resinas termoplasticas,,
c20321,Fabricacao de resinas termofixas,,
c20339,Fabricacao de elastomeros,,
c20401,Fabricacao de fibras artificiais e sinteticas,,
c20517,Fabricacao de defensivos agricolas,,
c20525,Fabricacao de desinfestantes domissanitarios,,
c20614,Fabricacao de saboes e detergentes sinteticos,,
c20622,Fabricacao de produtos de limpeza e polimento,,
c20631,"Fabricacao de cosmeticos, produtos de perfumaria e de higiene pessoal",,
c20711,"Fabricacao de tintas, vernizes, esmaltes e lacas",,
c20720,Fabricacao de tintas de impressao,,
