Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity,Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity
2016,0,2ba0107,6953358.000,1765198.000,1781726.000,1289613.000,5,2.178,11,5.576,,,,,,2016,0,2ba0107,6953358.000,1765198.000,1781726.000,1289613.000,5,2.178,11,5.576,,,,,
2016,0,2ba0200,163231276.000,2759597.000,331471831.000,17356131.000,10,3.354,28,11.534,,,,,,2016,0,2ba0200,163231276.000,2759597.000,331471831.000,17356131.000,10,3.354,28,11.534,,,,,
2016,0,2ba0201,,4260326.000,,1158835.000,0,,0,,,,,,,2016,0,2ba0201,,4260326.000,,1158835.000,0,,0,,,,,,
2016,0,2ba0202,7554296.000,21684.000,5401417.000,25160.000,2,1.148,13,7.140,,,,,,2016,0,2ba0202,7554296.000,21684.000,5401417.000,25160.000,2,1.148,13,7.140,,,,,
2016,0,2ba0300,38728678.000,28670942.000,35119243.000,7613250.000,15,1.394,25,5.264,,,,,,2016,0,2ba0300,38728678.000,28670942.000,35119243.000,7613250.000,15,1.394,25,5.264,,,,,
2016,0,2ba0301,763945514.000,1098890048.000,900495345.000,1746634727.000,179,20.044,90,10.193,,,,,,2016,0,2ba0301,763945514.000,1098890048.000,900495345.000,1746634727.000,179,20.044,90,10.193,,,,,
2016,0,2ba0302,31854937.000,4270919.000,7363664.000,2113416.000,12,2.478,28,10.017,,,,,,2016,0,2ba0302,31854937.000,4270919.000,7363664.000,2113416.000,12,2.478,28,10.017,,,,,
2016,0,2ba0400,27245730.000,11449060.000,3501144.000,19176171.000,6,1.739,21,3.250,,,,,,2016,0,2ba0400,27245730.000,11449060.000,3501144.000,19176171.000,6,1.739,21,3.250,,,,,
2016,0,2ba0401,,96654.000,,14690.000,0,,0,,,,,,,2016,0,2ba0401,,96654.000,,14690.000,0,,0,,,,,,
2016,0,2ba0402,,100579.000,,6136.000,0,,0,,,,,,,2016,0,2ba0402,,100579.000,,6136.000,0,,0,,,,,,
2016,0,2ba0404,533363.000,,928480.000,,1,1.000,5,2.714,,,,,,2016,0,2ba0404,533363.000,,928480.000,,1,1.000,5,2.714,,,,,
2016,0,2ba0405,25035686.000,313007.000,14696695.000,102992.000,6,2.584,36,7.749,,,,,,2016,0,2ba0405,25035686.000,313007.000,14696695.000,102992.000,6,2.584,36,7.749,,,,,
2016,0,2ba0500,64402079.000,94897410.000,37469652.000,26810298.000,24,3.449,29,5.536,,,,,,2016,0,2ba0500,64402079.000,94897410.000,37469652.000,26810298.000,24,3.449,29,5.536,,,,,
2016,0,2ba0501,242414380.000,1754403.000,615986790.000,4497620.000,15,1.425,49,6.403,,,,,,2016,0,2ba0501,242414380.000,1754403.000,615986790.000,4497620.000,15,1.425,49,6.403,,,,,
2016,0,2ba0502,4175525.000,148591.000,1001450.000,67868.000,8,3.742,15,6.957,,,,,,2016,0,2ba0502,4175525.000,148591.000,1001450.000,67868.000,8,3.742,15,6.957,,,,,
2016,0,2ba0602,10636689.000,1094544.000,8686416.000,841963.000,12,1.558,20,5.283,,,,,,2016,0,2ba0602,10636689.000,1094544.000,8686416.000,841963.000,12,1.558,20,5.283,,,,,
2016,0,2ba0603,53467.000,17083.000,8982.000,0.000,1,1.000,1,1.000,,,,,,2016,0,2ba0603,53467.000,17083.000,8982.000,0.000,1,1.000,1,1.000,,,,,
