"Year","IBGE ID","Location","Imports","Exports","Economic Complexity","Nominal Export Growth (1 year)","Nominal Export Growth (5 year)","Nominal Import Growth (1 year)","Nominal Import Growth (5 year)","Product Diversity","Effective Product Diversity","Export Destination Diversity","Effective Export Destination Diversity"
"2016","3525201","Jarinu - SP","USD 38M","USD 9.33M","0.897","0% ","0% ","0% ","0% ","42","8.738","39","15.81"
"2016","3508504","Caçapava - SP","USD 91.9M","USD 89M","0.895","0% ","0% ","0% ","0% ","101","9.131","41","7.588"
"2016","3540606","Porto Feliz - SP","USD 91.1M","USD 47.2M","0.864","0% ","0% ","0% ","0% ","127","6.855","38","7.935"
"2016","3513504","Cubatão - SP","USD 423M","USD 313M","0.845","0% ","0% ","0% ","0% ","24","8.566","69","25.14"
"2016","3529401","Mauá - SP","USD 247M","USD 239M","0.81","0% ","0% ","0% ","0% ","226","15.43","66","23.01"
"2016","3537800","Piedade - SP","USD 4.15M","USD 9.92M","0.753","0% ","0% ","0% ","0% ","53","3.738","21","6.92"
"2016","4304606","Canoas - RS","USD 871M","USD 368M","0.736","0% ","0% ","0% ","0% ","163","8.977","83","13.99"
"2016","3518701","Guarujá - SP","USD 246M","USD 765M","0.723","0% ","0% ","0% ","0% ","73","2.31","45","4.0367"
"2016","4308607","Garibaldi - RS","USD 38.2M","USD 64.3M","0.718","0% ","0% ","0% ","0% ","127","8.117","83","17.68"
"2016","3304144","Queimados - RJ","USD 162M","USD 38.1M","0.702","0% ","0% ","0% ","0% ","53","4.702","30","9.244"
"2016","3507902","Brotas - SP","USD 417k","USD 55.2M","0.694","0% ","0% ","0% ","0% ","8","2.329","8","2.105"
"2016","4201307","Araquari - SC","USD 357M","USD 258M","0.674","0% ","0% ","0% ","0% ","93","1.467","34","1.493"
"2016","3513405","Cruzeiro - SP","USD 101M","USD 34.2M","0.673","0% ","0% ","0% ","0% ","36","8.0852","30","8.123"
"2016","3302254","Itatiaia - RJ","USD 284M","USD 102M","0.619","0% ","0% ","0% ","0% ","163","2.284","29","7.033"
"2016","4207007","Içara - SC","USD 10.4M","USD 31.3M","0.616","0% ","0% ","0% ","0% ","81","4.45","19","6.672"
"2016","4212056","Palmeira - SC","USD 1.59M","USD 16.6M","0.608","0% ","0% ","0% ","0% ","6","3.69","9","4.584"
"2016","4112009","Jaguariaíva - PR","USD 11.4M","USD 87.1M","0.6","0% ","0% ","0% ","0% ","8","1.619","35","2.8"
"2016","3530805","Moji-Mirim - SP","USD 56.9M","USD 73.2M","0.585","0% ","0% ","0% ","0% ","106","10.9516","57","12.08"
"2016","5201108","Anápolis - GO","USD 1.17B","USD 167M","0.585","0% ","0% ","0% ","0% ","107","2.341","47","2.404"
"2016","3516408","Franco da Rocha - SP","USD 277M","USD 51.4M","0.584","0% ","0% ","0% ","0% ","45","3.145","30","8.667"
"2016","3200607","Aracruz - ES","USD 56M","USD 925M","0.543","0% ","0% ","0% ","0% ","28","1.0237","22","4.388"
"2016","3522307","Itapetininga - SP","USD 53.3M","USD 98.4M","0.542","0% ","0% ","0% ","0% ","30","5.44","51","12.79"
"2016","3549805","São José do Rio Preto - SP","USD 72.5M","USD 16.4M","0.54","0% ","0% ","0% ","0% ","153","22.16","59","17.62"
"2016","3503901","Arujá - SP","USD 94.7M","USD 41.8M","0.517","0% ","0% ","0% ","0% ","115","15.09","42","9.98"
"2016","3524709","Jaguariúna - SP","USD 1.21B","USD 40.5M","0.489","0% ","0% ","0% ","0% ","189","22.19","48","9.646"
"2016","3509601","Campo Limpo Paulista - SP","USD 63.1M","USD 138M","0.488","0% ","0% ","0% ","0% ","44","2.359","30","4.719"
"2016","4117602","Palmas - PR","USD 1.25M","USD 147M","0.487","0% ","0% ","0% ","0% ","13","2.151","65","11.5"
"2016","4218707","Tubarão - SC","USD 48M","USD 11.5M","0.48","0% ","0% ","0% ","0% ","75","6.827","46","11.06"
"2016","3539806","Poá - SP","USD 20.4M","USD 29.4M","0.476","0% ","0% ","0% ","0% ","32","4.923","25","5.312"
"2016","4313904","Panambi - RS","USD 8.56M","USD 41.8M","0.47","0% ","0% ","0% ","0% ","103","9.433","37","13.13"
"2016","3137601","Lagoa Santa - MG","USD 222M","USD 75.1M","0.464","0% ","0% ","0% ","0% ","82","5.588","51","4.658"
"2016","3531803","Monte Mor - SP","USD 105M","USD 78.8M","0.461","0% ","0% ","0% ","0% ","117","3.288","43","15.46"
"2016","3158953","Santana do Paraíso - MG","USD 34.7k","USD 1.32M","0.455","0% ","0% ","0% ","0% ","6","1.162","10","4.669"
"2016","3159605","Santa Rita do Sapucaí - MG","USD 136M","USD 11M","0.45","0% ","0% ","0% ","0% ","64","16.47","39","8.223"
"2016","4115200","Maringá - PR","USD 160M","USD 1.4B","0.427","0% ","0% ","0% ","0% ","249","4.583","94","18.91"
"2016","2908507","Conceição do Jacuípe - BA","USD 100M","USD 3.6M","0.411","0% ","0% ","0% ","0% ","22","3.631","16","11.71"
"2016","3507605","Bragança Paulista - SP","USD 133M","USD 65.9M","0.392","0% ","0% ","0% ","0% ","134","16.12","79","21.43"
"2016","3533403","Nova Odessa - SP","USD 88.6M","USD 64.9M","0.385","0% ","0% ","0% ","0% ","89","4.403","43","11.27"
"2016","3537107","Pedreira - SP","USD 6.21M","USD 17.1M","0.373","0% ","0% ","0% ","0% ","37","3.848","38","10.2328"
"2016","3526704","Leme - SP","USD 40M","USD 326M","0.366","0% ","0% ","0% ","0% ","75","4.381","47","9.0699"
"2016","4322251","Tupandi - RS","USD 274k","USD 19.5M","0.366","0% ","0% ","0% ","0% ","10","1.193","27","8.0157"
"2016","3512704","Corumbataí - SP","USD 56.6k","USD 1.22M","0.363","0% ","0% ","0% ","0% ","6","3.158","4","3.027"
"2016","3539202","Pirapozinho - SP","USD 7.89M","USD 28.2M","0.356","0% ","0% ","0% ","0% ","12","5.905","23","8.228"
"2016","4317202","Santa Rosa - RS","USD 35.7M","USD 75.5M","0.352","0% ","0% ","0% ","0% ","42","2.242","21","4.719"
"2016","3203130","João Neiva - ES","USD 546k","USD 36.8M","0.351","0% ","0% ","0% ","0% ","6","1.616","17","3.723"
"2016","4205407","Florianópolis - SC","USD 316M","USD 50.4M","0.335","0% ","0% ","0% ","0% ","160","16.22","75","18.94"
"2016","3511508","Cerquilho - SP","USD 34.7M","USD 66.6M","0.334","0% ","0% ","0% ","0% ","47","3.909","26","8.216"
"2016","3510401","Capivari - SP","USD 31.2M","USD 22.9M","0.33","0% ","0% ","0% ","0% ","38","4.271","37","8.843"
"2016","3526407","Laranjal Paulista - SP","USD 10.7M","USD 86.8M","0.32","0% ","0% ","0% ","0% ","11","1.118","32","6.312"
"2016","3530607","Mogi Das Cruzes - SP","USD 218M","USD 168M","0.31","0% ","0% ","0% ","0% ","219","18.54","59","14.18"
"2016","4211207","Morro da Fumaça - SC","USD 8.83M","USD 7.73M","0.305","0% ","0% ","0% ","0% ","37","2.374","16","3.777"
"2016","3507100","Bom Jesus Dos Perdões - SP","USD 4.54M","USD 2.65M","0.304","0% ","0% ","0% ","0% ","21","2.987","21","13.2"
"2016","3532405","Nazaré Paulista - SP","USD 1.8M","USD 2.32M","0.303","0% ","0% ","0% ","0% ","26","4.95","13","4.252"
"2016","4313300","Nova Prata - RS","USD 25.9M","USD 80.8M","0.282","0% ","0% ","0% ","0% ","50","5.0243","50","16.44"
"2016","3131307","Ipatinga - MG","USD 203M","USD 170M","0.281","0% ","0% ","0% ","0% ","70","3.835","22","4.769"
"2016","3521002","Iperó - SP","USD 4.93M","USD 14.8M","0.274","0% ","0% ","0% ","0% ","45","7.118","26","4.244"
"2016","3524907","Jambeiro - SP","USD 16.6M","USD 7.78M","0.272","0% ","0% ","0% ","0% ","11","2.739","31","9.433"
"2016","3511607","Cesário Lange - SP","USD 9.6M","USD 6.52M","0.272","0% ","0% ","0% ","0% ","28","4.237","13","4.669"
"2016","3512803","Cosmópolis - SP","USD 108M","USD 122M","0.268","0% ","0% ","0% ","0% ","38","5.207","62","15.52"
